site,plant,height,mouth.diam,tube.diam,keel.diam,wing1.length,wing2.length,wingsprea,hoodmass.g,tubemass.g,wingmass.g
TJH,1,654,38.4,16.6,6.4,85,76,55,1.38,3.54,0.29
TJH,2,413,22.2,17.2,5.9,55,26,60,0.49,1.48,0.06
TJH,3,610,31.2,19.9,6.7,62,60,78,0.6,2.2,0.16
TJH,4,546,34.4,20.8,6.3,84,79,95,1.12,2.95,0.24
TJH,5,665,30.5,20.4,6.6,60,51,30,0.67,3.36,0.08
TJH,6,665,33.6,19.5,6.6,84,66,82,1.27,4.05,0.21
TJH,7,638,37.4,23,7.4,63,70,86,1.55,4.27,0.21
TJH,8,629,29.6,19.9,5.9,75,73,130,0.83,3.48,0.19
TJH,9,508,22.9,20.4,8.2,52,53,75,0.57,2.2,0.08
TJH,10,709,39.4,19.4,5.9,55,53,65,1.39,4.44,0.14
TJH,11,468,25.5,19.3,7.7,56,16,60,0.83,1.68,0.07
TJH,12,624,38.9,20.8,5.5,93,104,120,1.51,2.91,0.03
TJH,13,703,38.9,19.9,7,90,96,145,1.54,4.99,0.36
TJH,14,665,33.4,18.3,7.3,67,63,62,1.53,3.76,0.2
TJH,15,606,36.3,19.8,5.9,45,47,70,0.84,2.68,0.1
TJH,16,521,27.6,16.6,5,50,35,58,0.64,1.75,0.05
TJH,17,735,33.9,17.5,6.1,65,66,90,0.96,3.6,0.2
TJH,18,530,33.7,20.8,5.8,61,80,122,0.58,1.99,0.08
TJH,19,582,20.5,20.4,6.6,51,60,74,0.54,2.92,0.1
TJH,20,641,31.5,20,5.9,44,77,80,0.76,3.16,0.13
TJH,21,662,32.9,18.5,6.5,75,67,110,0.9,3.53,0.11
TJH,22,587,28.5,23.6,9.5,56,53,52,0.72,2.85,0.13
TJH,23,665,26,27.9,6.4,10,16,22,0.56,2.92,0.02
TJH,24,515,24.8,17.5,8.8,65,61,90,0.62,1.79,0.08
TJH,25,710,29.1,19.8,7.1,35,50,38,0.44,3.04,0.04
DG,1,744,34.3,18.6,4.9,92,93,124,0.87,4.53,0.18
DG,2,700,34.4,20.9,5.9,109,114,130,1.19,4.15,0.26
DG,3,714,28.9,19.7,6.4,55,57,25,0.93,4.3,0.225
DG,4,667,32.4,19.5,4.6,83,95,63,1.08,3.7,0.25
DG,5,600,29.1,17.5,6,77,80,65,0.79,2.62,0.16
DG,6,777,33.4,21.1,7.1,95,103,104,1.08,4.66,0.3
DG,7,640,34.5,18.6,6.1,94,87,70,1.02,3.48,0.25
DG,8,440,29.4,18.4,5.4,85,68,115,0.73,1.66,0.2
DG,9,715,39.5,19.7,5.3,85,74,60,1.2,4.24,0.33
DG,10,573,33,15.8,4.8,95,118,108,1.05,2.84,0.37
DG,11,586,33.8,19.1,5.4,104,94,85,1.02,2.99,0.28
DG,12,650,36.3,20.2,6.1,114,94,80,1.09,4.01,0.37
DG,13,480,27,18.1,7,56,74,116,0.64,2.2,0.12
DG,14,545,30.3,17.3,5.5,85,88,130,0.84,2.35,0.22
DG,15,845,37.3,19.3,6,80,50,40,1.29,5.89,0.25
DG,16,560,42.1,14.6,3.5,105,104,75,0.97,2.03,0.24
DG,17,450,31.2,20.6,7.1,67,72,81,0.79,1.91,0.13
DG,18,600,34.6,17.1,6.1,88,76,104,1.03,3.03,0.22
DG,19,607,33.5,14.8,1.6,75,68,110,1.1,2.94,0.23
DG,20,675,31.4,16.3,14.8,70,55,70,0.9,2.16,0.18
DG,21,550,29.4,17.6,4.9,75,55,50,0.93,2.45,0.18
DG,22,510,29.6,14.4,2.7,55,48,40,0.75,2,0.13
DG,23,534,30.2,16.5,4.6,71,71,80,0.92,3.32,0.16
DG,24,655,35.8,15.7,3.8,69,64,88,1.04,3.17,0.18
DG,25,655,35.2,17.7,4.9,75,82,93,1.02,3.67,0.21
LEH,1,458,26.3,20.7,7.3,57,50,25,0.3,1.32,0.03
LEH,2,632,37.6,20.3,6.6,70,63,74,0.59,3.17,0.08
LEH,3,720,37.9,19,5.6,66,50,70,0.69,3.08,0.1
LEH,4,640,34.5,16.3,4,115,112,120,0.84,2.98,0.2
LEH,5,705,34.9,17.9,3.4,105,107,199,0.74,3.42,0.22
LEH,6,712,31.7,20.6,3.6,84,89,85,1.02,4.49,0.16
LEH,7,749,30,18.3,3,60,50,100,0.58,4.1,0.06
LEH,8,620,30.8,17.5,4.9,68,53,108,0.58,2.42,0.07
LEH,9,625,32.5,29.6,5.5,70,85,135,0.69,2.56,0.13
LEH,10,664,32.7,22.3,5.1,92,82,100,0.83,3.43,0.18
LEH,11,625,31.2,20.5,4.8,80,85,120,0.57,2.58,0.1
LEH,12,685,38.8,24.8,8.7,75,65,80,0.63,3.11,0.08
LEH,13,322,22.6,16,4.7,52,50,85,0.27,0.68,0.03
LEH,14,695,27.8,20.2,6.7,74,80,95,0.49,2.9,0.1
LEH,15,600,25.5,20,6.7,75,80,132,0.37,1.92,0.06
LEH,16,485,24.3,14.3,2.2,70,66,105,0.29,1.48,0.06
LEH,17,720,32.5,26.5,8.4,93,80,105,0.56,3.18,0.1
LEH,18,470,20.5,20.9,6.7,70,60,105,0.41,1.58,0.08
LEH,19,555,31.5,20.2,5.8,70,82,135,0.63,2.18,0.14
LEH,20,625,28.1,19.4,6.1,98,97,115,0.78,2.62,0.17
LEH,21,610,33.4,21.2,7,82,72,130,0.59,2.18,0.1
LEH,22,775,37.8,17.7,3,100,100,153,1.4,4.42,0.31
LEH,23,636,38.3,22.2,5,148,152,188,1.54,3.41,5
LEH,24,782,40.7,24,4.9,135,145,190,1.93,5.1,0.47
LEH,25,845,49.3,30,7.4,110,79,150,1.34,5.8,0.24
HD,1,581,19.5,23.3,9.8,45,70,80,0.32,1.76,0.04
HD,2,650,21.3,24.7,10.5,44,67,95,0.41,2.12,0.05
HD,3,485,13.6,19.5,7.4,59,56,75,0.38,1.28,0.06
HD,4,832,31,26.8,12.5,50,62,53,0.51,3.08,0.06
HD,5,565,22.5,23.4,10,78,80,125,0.46,1.9,0.07
HD,6,475,17.4,26.3,11.6,60,65,105,0.25,1.1,0.05
HD,7,480,23.7,22.4,9.5,85,86,110,0.5,1.43,0.11
HD,8,503,22.8,26.8,9.8,59,48,72,0.54,1.73,0.06
HD,9,540,18.1,22.6,9.5,45,60,90,0.29,1.38,0.06
HD,10,648,22.7,21.4,8.8,15,46,50,0.22,1.71,0.03
HD,11,595,31.5,22.5,7.8,55,74,85,0.49,1.78,0.04
HD,12,528,23.4,17.4,4.9,63,65,75,0.34,1.49,0.05
