plot,treatment,block,seedlsum,cirspalu,prunvulg,poteerec,betonoff,myospalu,ranuncul,galiumsp,lathprat,mentarve,selicarv,cardamin,lychfloc,neurceno,lysivulg,quercusr,pedisilv,ajugrept,medilupu,saliauri,pinusilv,violpalu,angesilv,succprat
rel1,Cont,Block1,95,1,9,12,1,6,5,21,16,9,3,3,1,6,2,0,0,0,0,0,0,0,0,0
rel2,Litter,Block1,91,5,16,7,0,11,11,0,5,18,0,0,4,4,0,2,2,4,2,0,0,0,0,0
rel3,Nardus,Block1,64,0,26,22,0,2,10,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
rel4,Li+Mo,Block1,107,1,8,32,0,2,31,5,2,8,0,0,1,10,0,0,0,5,1,0,1,0,0,0
rel5,Cont,Block2,88,3,3,20,0,6,7,25,7,0,0,4,0,4,0,0,0,3,2,0,0,2,2,0
rel6,Litter,Block2,70,1,16,7,0,4,17,5,0,0,0,1,0,0,0,0,0,16,0,0,0,0,0,3
rel7,Nardus,Block2,51,6,7,13,0,2,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,15,0,1
rel8,Li+Mo,Block2,180,14,9,86,1,4,16,31,9,0,3,0,3,0,0,0,1,2,0,0,0,0,0,1
rel9,Cont,Block3,44,0,11,2,2,1,5,19,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
rel10,Litter,Block3,57,3,4,26,6,4,4,3,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0
rel11,Nardus,Block3,55,6,12,5,1,0,11,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rel12,Li+Mo,Block3,173,23,31,55,2,4,13,39,1,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0
rel13,Cont,Block4,94,3,55,13,0,2,7,0,0,0,0,3,3,4,0,0,0,2,0,0,0,0,1,1
rel14,Litter,Block4,99,8,21,11,0,8,9,27,1,0,1,0,0,11,2,0,0,0,0,0,0,0,0,0
rel15,Nardus,Block4,53,3,7,16,4,1,7,6,0,0,0,0,0,7,0,0,0,1,1,0,0,0,0,0
rel16,Li+Mo,Block4,80,12,20,14,0,1,10,4,6,0,0,0,1,8,1,0,0,2,0,0,0,0,0,1
